MGI Gene ID	Gene Symbol	Theiler Stage	Structure Name	MGI anatomy ID	UBERON ID	EMAPA ID	MA ID	MGI Assay ID	MGI Ref ID	PubMed ID
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:1920603	Actrt2	23	humerus	4860887	0000976	18468		MGI:4822962	J:153498	21267068
MGI:105378	Adam12	23	humerus	4860887	0000976	18468		MGI:4822973	J:153498	21267068
MGI:2653822	Adam32	23	humerus	4860887	0000976	18468		MGI:4822978	J:153498	21267068
MGI:2653822	Adam32	23	humerus	4860887	0000976	18468		MGI:4822978	J:153498	21267068
MGI:2653822	Adam32	23	humerus	4860887	0000976	18468		MGI:4822978	J:153498	21267068
MGI:1929289	Adrm1	23	humerus	4860887	0000976	18468		MGI:4823017	J:153498	21267068
MGI:1929289	Adrm1	23	humerus	4860887	0000976	18468		MGI:4823017	J:153498	21267068
MGI:1929289	Adrm1	23	humerus	4860887	0000976	18468		MGI:4823017	J:153498	21267068
MGI:1929289	Adrm1	23	humerus	4860887	0000976	18468		MGI:4823017	J:153498	21267068
MGI:1929289	Adrm1	23	humerus	4860887	0000976	18468		MGI:4823017	J:153498	21267068
MGI:87983	Alpl	23	humerus	4860887	0000976	18468		MGI:4823096	J:153498	21267068
MGI:87983	Alpl	23	humerus	4860887	0000976	18468		MGI:4823096	J:153498	21267068
MGI:87983	Alpl	23	humerus	4860887	0000976	18468		MGI:4823096	J:153498	21267068
MGI:87983	Alpl	23	humerus	4860887	0000976	18468		MGI:4823096	J:153498	21267068
MGI:87983	Alpl	23	humerus	4860887	0000976	18468		MGI:4823096	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1261791	Apba2	23	humerus	4860887	0000976	18468		MGI:4823168	J:153498	21267068
MGI:1346052	Apc2	23	humerus	4860887	0000976	18468		MGI:4823173	J:153498	21267068
MGI:1346052	Apc2	23	humerus	4860887	0000976	18468		MGI:4823173	J:153498	21267068
MGI:1346052	Apc2	23	humerus	4860887	0000976	18468		MGI:4823173	J:153498	21267068
MGI:1346052	Apc2	23	humerus	4860887	0000976	18468		MGI:4823173	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:1917178	Apitd1	23	humerus	4860887	0000976	18468		MGI:4823177	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823200	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
MGI:103201	Aqp1	23	humerus	4860887	0000976	18468		MGI:4823201	J:153498	21267068
