Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:1857064	MGI:98513	2040451	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2183135	MGI:98742	17327419	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1860407	MGI:98743	17327419	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3038818	MGI:98872	15030764	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857617	MGI:98958	10021340	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857617	MGI:98958	"1,957,777,122,377,350"	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857735	MGI:99484	10195895	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1857768	MGI:99484	10195896	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2386272	MGI:99484	10346820	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:1855999	MGI:99602		MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:2176466	MGI:99829	9182763	MP:0000547	short limbs	UBERON:0002101 ! limb	PATO:0000574 ! decreased length		
MGI:3823026	MGI:95524	17360456	MP:0000548	long limbs	UBERON:0002101 ! limb	PATO:0000573 ! increased length		
MGI:3773688	MGI:97712	18198333	MP:0000548	long limbs	UBERON:0002101 ! limb	PATO:0000573 ! increased length		
MGI:1927833	MGI:1099809	9784490	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:4398706	MGI:1099809	19407009	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:4849925	MGI:1099809	21559415	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:5438701	MGI:1099809	22719891	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:1859647	MGI:1099809	"11,062,007,153,408,400,000,000"	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:1934269	MGI:1330810	12368184	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:1856852	MGI:1921303		MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:2153818	MGI:95523	11180951	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:2183527	MGI:95523	12135917	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:2183528	MGI:95523	15340846	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:4461798	MGI:95523	20503384	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:1856073	MGI:96055	2884254	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:2178826	MGI:98955	10431240	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:2450902	MGI:98955	12569130	MP:0000549	absent limbs	MA:0002405 ! postnatal mouse	PATO:0002000 ! lacks all parts of type		UBERON:0002101 ! limb
MGI:1856291	MGI:101815	2997621	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2445723	MGI:101900	10520996	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2388595	MGI:101926	12000792	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2388594	MGI:101927	12000792	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2182708	MGI:103222	10835630	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1857639	MGI:103580	10804186	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2386948	MGI:104867	10508520	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2182635	MGI:104867	10603357	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:5315594	MGI:105925	21693692	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1857695	MGI:1201674	11285272	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:4415718	MGI:1298218	19653321	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
